t;agent_type;position;revenue;imbalance;da_position;capacity
0;RandomLiquidityAgent;0.0;0.0;0.0;0.0;100.0
1;RandomLiquidityAgent;0.0;0.0;0.0;0.0;100.0
2;RandomLiquidityAgent;0.0;0.0;0.0;0.0;100.0
3;RandomLiquidityAgent;0.0;0.0;0.0;0.0;100.0
4;RandomLiquidityAgent;5.649229356245713;374.91532562080044;0.0;0.0;100.0
5;RandomLiquidityAgent;8.534792633189102;465.40147031529426;0.0;0.0;100.0
6;RandomLiquidityAgent;11.931015979250377;710.2012250666943;0.0;0.0;100.0
7;RandomLiquidityAgent;11.931015979250377;710.2012250666943;0.0;0.0;100.0
8;RandomLiquidityAgent;11.931015979250377;710.2012250666943;0.0;0.0;100.0
9;RandomLiquidityAgent;11.931015979250377;710.2012250666943;0.0;0.0;100.0
10;RandomLiquidityAgent;11.931015979250377;710.2012250666943;0.0;0.0;100.0
11;RandomLiquidityAgent;11.931015979250377;710.2012250666943;0.0;0.0;100.0
12;RandomLiquidityAgent;6.931015979250377;447.118757254888;0.0;0.0;100.0
13;RandomLiquidityAgent;6.931015979250377;447.118757254888;0.0;0.0;100.0
14;RandomLiquidityAgent;6.931015979250377;447.118757254888;0.0;0.0;100.0
15;RandomLiquidityAgent;6.931015979250377;447.118757254888;0.0;0.0;100.0
16;RandomLiquidityAgent;5.385501912557254;375.43243012367464;0.0;0.0;100.0
17;RandomLiquidityAgent;5.385501912557254;375.43243012367464;0.0;0.0;100.0
18;RandomLiquidityAgent;-3.3963516337146853;-346.39579164237455;0.0;0.0;100.0
19;RandomLiquidityAgent;-1.0031802062481079;-228.97491571116677;0.0;0.0;100.0
20;RandomLiquidityAgent;-1.0031802062481079;-228.97491571116677;0.0;0.0;100.0
21;RandomLiquidityAgent;8.409176113379736;97.19763660359001;0.0;0.0;100.0
22;RandomLiquidityAgent;8.409176113379736;97.19763660359001;0.0;0.0;100.0
23;RandomLiquidityAgent;8.409176113379736;97.19763660359001;0.0;0.0;100.0
24;RandomLiquidityAgent;11.944982556500785;211.2859600279781;0.0;0.0;100.0
25;RandomLiquidityAgent;20.409115360850755;353.34006857480773;0.0;0.0;100.0
26;RandomLiquidityAgent;14.498802758001053;31.334469979581797;0.0;0.0;100.0
27;RandomLiquidityAgent;17.38949160305884;117.94638512471055;0.0;0.0;100.0
28;RandomLiquidityAgent;8.608040337079164;-496.38821691107466;0.0;0.0;100.0
29;RandomLiquidityAgent;8.608040337079164;-496.38821691107466;0.0;0.0;100.0
30;RandomLiquidityAgent;7.3950604247661005;-527.2590203310681;0.0;0.0;100.0
31;RandomLiquidityAgent;16.84819468768854;-190.08818196785313;0.0;0.0;100.0
32;RandomLiquidityAgent;16.84819468768854;-190.08818196785313;0.0;0.0;100.0
33;RandomLiquidityAgent;16.84819468768854;-190.08818196785313;0.0;0.0;100.0
34;RandomLiquidityAgent;16.84819468768854;-190.08818196785313;0.0;0.0;100.0
35;RandomLiquidityAgent;16.84819468768854;-190.08818196785313;0.0;0.0;100.0
36;RandomLiquidityAgent;16.84819468768854;-190.08818196785313;0.0;0.0;100.0
37;RandomLiquidityAgent;15.432271224853714;-274.8024616016207;0.0;0.0;100.0
38;RandomLiquidityAgent;6.398332788951416;-919.0615001277245;0.0;0.0;100.0
39;RandomLiquidityAgent;6.398332788951416;-919.0615001277245;0.0;0.0;100.0
40;RandomLiquidityAgent;13.039068721787448;-644.3110041084341;0.0;0.0;100.0
41;RandomLiquidityAgent;13.039068721787448;-644.3110041084341;0.0;0.0;100.0
42;RandomLiquidityAgent;4.328480431052039;-1055.9870971748119;0.0;0.0;100.0
43;RandomLiquidityAgent;4.328480431052039;-1055.9870971748119;0.0;0.0;100.0
44;RandomLiquidityAgent;-4.833879332228875;-1581.4614589348075;0.0;0.0;100.0
45;RandomLiquidityAgent;-4.833879332228875;-1581.4614589348075;0.0;0.0;100.0
46;RandomLiquidityAgent;-12.86497677872693;-2029.9942488929673;0.0;0.0;100.0
47;RandomLiquidityAgent;-12.86497677872693;-2029.9942488929673;0.0;0.0;100.0
48;RandomLiquidityAgent;-12.86497677872693;-2029.9942488929673;0.0;0.0;100.0
49;RandomLiquidityAgent;-21.031021728128838;-2430.0716366649995;0.0;0.0;100.0
50;RandomLiquidityAgent;-12.630043465318316;-2168.5988465312403;0.0;0.0;100.0
51;RandomLiquidityAgent;-12.630043465318316;-2168.5988465312403;0.0;0.0;100.0
52;RandomLiquidityAgent;-12.630043465318316;-2168.5988465312403;0.0;0.0;100.0
53;RandomLiquidityAgent;-12.630043465318316;-2168.5988465312403;0.0;0.0;100.0
54;RandomLiquidityAgent;-12.630043465318316;-2168.5988465312403;0.0;0.0;100.0
55;RandomLiquidityAgent;-8.790111969264437;-1990.8114734894882;0.0;0.0;100.0
56;RandomLiquidityAgent;-11.513980726359339;-2122.1056960308406;0.0;0.0;100.0
57;RandomLiquidityAgent;-11.513980726359339;-2122.1056960308406;0.0;0.0;100.0
58;RandomLiquidityAgent;-17.68055870299633;-2415.337304829944;0.0;0.0;100.0
59;RandomLiquidityAgent;-20.046101765554937;-2524.205528067586;0.0;0.0;100.0
60;RandomLiquidityAgent;-10.869562366940702;-2162.326653597498;0.0;0.0;100.0
61;RandomLiquidityAgent;-14.028348966012933;-2317.8623213813407;0.0;0.0;100.0
62;RandomLiquidityAgent;-12.38773112463162;-2251.9585797608665;0.0;0.0;100.0
63;RandomLiquidityAgent;-12.38773112463162;-2251.9585797608665;0.0;0.0;100.0
64;RandomLiquidityAgent;-12.38773112463162;-2251.9585797608665;0.0;0.0;100.0
65;RandomLiquidityAgent;-22.044931044367154;-2771.792202285814;0.0;0.0;100.0
66;RandomLiquidityAgent;-22.044931044367154;-2771.792202285814;0.0;0.0;100.0
67;RandomLiquidityAgent;-15.081679211444294;-2466.91251189061;0.0;0.0;100.0
68;RandomLiquidityAgent;-22.000622689792454;-2836.4358995597877;0.0;0.0;100.0
69;RandomLiquidityAgent;-13.073003133572204;-2400.973902591068;0.0;0.0;100.0
70;RandomLiquidityAgent;-13.073003133572204;-2400.973902591068;0.0;0.0;100.0
71;RandomLiquidityAgent;-17.525277252796553;-2653.861838673944;0.0;0.0;100.0
72;RandomLiquidityAgent;-17.525277252796553;-2653.861838673944;0.0;0.0;100.0
73;RandomLiquidityAgent;-17.525277252796553;-2653.861838673944;0.0;0.0;100.0
74;RandomLiquidityAgent;-17.525277252796553;-2653.861838673944;0.0;0.0;100.0
75;RandomLiquidityAgent;-16.387148871559205;-2611.582958309868;0.0;0.0;100.0
76;RandomLiquidityAgent;-16.387148871559205;-2611.582958309868;0.0;0.0;100.0
77;RandomLiquidityAgent;-16.387148871559205;-2611.582958309868;0.0;0.0;100.0
78;RandomLiquidityAgent;-12.160978790855934;-2363.958896229614;0.0;0.0;100.0
79;RandomLiquidityAgent;-17.639984062167493;-2672.7104229293204;0.0;0.0;100.0
80;RandomLiquidityAgent;-19.30474116471335;-2740.873994183041;0.0;0.0;100.0
81;RandomLiquidityAgent;-19.30474116471335;-2740.873994183041;0.0;0.0;100.0
82;RandomLiquidityAgent;-19.30474116471335;-2740.873994183041;0.0;0.0;100.0
83;RandomLiquidityAgent;-25.958974097895435;-3185.231994877482;0.0;0.0;100.0
84;RandomLiquidityAgent;-34.03758939716998;-3832.4651867314724;0.0;0.0;100.0
85;RandomLiquidityAgent;-28.653142401484615;-3488.004666541843;0.0;0.0;100.0
86;RandomLiquidityAgent;-28.653142401484615;-3488.004666541843;0.0;0.0;100.0
87;RandomLiquidityAgent;-33.89643421331756;-3800.3147858618795;0.0;0.0;100.0
88;RandomLiquidityAgent;-36.15442732588255;-3909.691705336092;0.0;0.0;100.0
89;RandomLiquidityAgent;-36.15442732588255;-3909.691705336092;0.0;0.0;100.0
90;RandomLiquidityAgent;-36.15442732588255;-3909.691705336092;0.0;0.0;100.0
91;RandomLiquidityAgent;-34.32936651152487;-3828.31419408852;0.0;0.0;100.0
92;RandomLiquidityAgent;-34.32936651152487;-3828.31419408852;0.0;0.0;100.0
93;RandomLiquidityAgent;-36.31870364252979;-3986.1001219335603;0.0;0.0;100.0
94;RandomLiquidityAgent;-36.31870364252979;-3986.1001219335603;0.0;0.0;100.0
95;RandomLiquidityAgent;-36.31870364252979;-3986.1001219335603;0.0;0.0;100.0
96;RandomLiquidityAgent;-36.31870364252979;-3986.1001219335603;0.0;0.0;100.0
97;RandomLiquidityAgent;-35.876213756899;-3956.832799505213;0.0;0.0;100.0
98;RandomLiquidityAgent;-39.68914890687319;-4090.2927197731383;0.0;0.0;100.0
99;RandomLiquidityAgent;-39.68914890687319;-4090.2927197731383;0.0;0.0;100.0
100;RandomLiquidityAgent;-37.756743813551495;-3992.5265416258167;0.0;0.0;100.0
101;RandomLiquidityAgent;-46.021736153922596;-4546.321076639703;0.0;0.0;100.0
102;RandomLiquidityAgent;-46.021736153922596;-4546.321076639703;0.0;0.0;100.0
103;RandomLiquidityAgent;-50.35221398621563;-4776.355041670853;0.0;0.0;100.0
104;RandomLiquidityAgent;-45.62456034527111;-4563.918138660527;0.0;0.0;100.0
105;RandomLiquidityAgent;-45.62456034527111;-4563.918138660527;0.0;0.0;100.0
106;RandomLiquidityAgent;-39.831319214464294;-4399.338778151281;0.0;0.0;100.0
107;RandomLiquidityAgent;-39.831319214464294;-4399.338778151281;0.0;0.0;100.0
108;RandomLiquidityAgent;-39.831319214464294;-4399.338778151281;0.0;0.0;100.0
109;RandomLiquidityAgent;-31.81925839703491;-4084.842242840859;0.0;0.0;100.0
110;RandomLiquidityAgent;-31.81925839703491;-4084.842242840859;0.0;0.0;100.0
111;RandomLiquidityAgent;-31.81925839703491;-4084.842242840859;0.0;0.0;100.0
112;RandomLiquidityAgent;-35.9867384006156;-4151.252088961042;0.0;0.0;100.0
113;RandomLiquidityAgent;-30.939135067757444;-3876.9385225584556;0.0;0.0;100.0
114;RandomLiquidityAgent;-32.04539420183359;-3927.229256274638;0.0;0.0;100.0
115;RandomLiquidityAgent;-27.689726362921647;-3650.922583912888;0.0;0.0;100.0
116;RandomLiquidityAgent;-27.689726362921647;-3650.922583912888;0.0;0.0;100.0
117;RandomLiquidityAgent;-27.689726362921647;-3650.922583912888;0.0;0.0;100.0
118;RandomLiquidityAgent;-27.689726362921647;-3650.922583912888;0.0;0.0;100.0
119;RandomLiquidityAgent;-27.689726362921647;-3650.922583912888;0.0;0.0;100.0
