t,agent_type,position,revenue,imbalance,da_position,capacity
0,RandomLiquidityAgent,0.0,0.0,0.0,0.0,100.0
1,RandomLiquidityAgent,-4.269762889807209,-197.64896651484332,0.0,0.0,100.0
2,RandomLiquidityAgent,-5.809349361897671,-302.5875060387591,0.0,0.0,100.0
3,RandomLiquidityAgent,-5.473090767793453,-289.1371622745904,0.0,0.0,100.0
4,RandomLiquidityAgent,-0.980519894205163,-85.56189584492037,0.0,0.0,100.0
5,RandomLiquidityAgent,-2.962179467861298,-201.40789084634218,0.0,0.0,100.0
6,RandomLiquidityAgent,-3.0815518064769805,-282.458819720703,0.0,0.0,100.0
7,RandomLiquidityAgent,10.455129901195452,305.8963791267679,0.0,0.0,100.0
8,RandomLiquidityAgent,22.916252719407346,908.2884646155926,0.0,0.0,100.0
9,RandomLiquidityAgent,13.95903571514032,501.86425322079197,0.0,0.0,100.0
10,RandomLiquidityAgent,41.616437296355315,1763.4866323950826,0.0,0.0,100.0
11,RandomLiquidityAgent,42.609104299540135,1784.9410208047054,0.0,0.0,100.0
12,RandomLiquidityAgent,39.44189770671308,1638.9593278170348,0.0,0.0,100.0
13,RandomLiquidityAgent,29.25823096368408,1076.2697350743276,0.0,0.0,100.0
14,RandomLiquidityAgent,33.62299682559251,1315.8973811433398,0.0,0.0,100.0
15,RandomLiquidityAgent,40.07621071256118,1601.4648803811574,0.0,0.0,100.0
16,RandomLiquidityAgent,46.96241192426648,1928.2367114061017,0.0,0.0,100.0
17,RandomLiquidityAgent,46.96241192426648,1928.2367114061017,0.0,0.0,100.0
18,RandomLiquidityAgent,32.133739853862416,1229.0102147046262,0.0,0.0,100.0
19,RandomLiquidityAgent,37.72149184571249,1520.799308210614,0.0,0.0,100.0
20,RandomLiquidityAgent,31.833202693331693,1254.0300119846863,0.0,0.0,100.0
21,RandomLiquidityAgent,29.78354651538852,1096.7593428335867,0.0,0.0,100.0
22,RandomLiquidityAgent,28.75765308803599,1082.2119322626813,0.0,0.0,100.0
23,RandomLiquidityAgent,10.158331395879824,238.4890061394701,0.0,0.0,100.0
24,RandomLiquidityAgent,29.12838887165933,1255.7392482273044,0.0,0.0,100.0
25,RandomLiquidityAgent,20.24276064528216,738.7850033642542,0.0,0.0,100.0
26,RandomLiquidityAgent,22.091696598060977,830.6856568992616,0.0,0.0,100.0
27,RandomLiquidityAgent,22.2770325297486,869.3402544926679,0.0,0.0,100.0
28,RandomLiquidityAgent,28.27956992886079,1146.917958785739,0.0,0.0,100.0
29,RandomLiquidityAgent,23.96085022605817,945.1568089535506,0.0,0.0,100.0
30,RandomLiquidityAgent,19.23484583150968,709.4513973139686,0.0,0.0,100.0
31,RandomLiquidityAgent,12.959671461377848,335.86471744649464,0.0,0.0,100.0
32,RandomLiquidityAgent,21.14067642622556,729.2279630603564,0.0,0.0,100.0
33,RandomLiquidityAgent,15.07305628257088,491.2419012900449,0.0,0.0,100.0
34,RandomLiquidityAgent,27.346810070080863,1065.9719263981353,0.0,0.0,100.0
35,RandomLiquidityAgent,38.327418394507355,1606.8053156629571,0.0,0.0,100.0
36,RandomLiquidityAgent,24.969998561743374,937.006484620113,0.0,0.0,100.0
37,RandomLiquidityAgent,28.32935311488493,1105.6088070112553,0.0,0.0,100.0
38,RandomLiquidityAgent,45.73313197261441,2046.6334482016355,0.0,0.0,100.0
39,RandomLiquidityAgent,47.84702281623342,2143.27633644845,0.0,0.0,100.0
40,RandomLiquidityAgent,39.910128293348905,1721.1799539862336,0.0,0.0,100.0
41,RandomLiquidityAgent,25.356946320736267,1007.591313109959,0.0,0.0,100.0
42,RandomLiquidityAgent,36.79844986598297,1551.4079186562894,0.0,0.0,100.0
43,RandomLiquidityAgent,45.55510995031622,2025.4068137306815,0.0,0.0,100.0
44,RandomLiquidityAgent,53.13354928147362,2413.7326371251206,0.0,0.0,100.0
