t,agent_type,position,revenue,imbalance,da_position,capacity
0,DispatchableAgent,0.0,0.0,0.0,50.0,100.0
1,DispatchableAgent,-2.586610470789105,-25.866104707891047,0.0,50.0,100.0
2,DispatchableAgent,-7.586610470789105,-120.72934953497818,0.0,50.0,100.0
3,DispatchableAgent,-11.618244789330062,-293.32200559597914,0.0,50.0,100.0
4,DispatchableAgent,-11.618244789330062,-293.32200559597914,0.0,50.0,100.0
5,DispatchableAgent,-11.618244789330062,-293.32200559597914,0.0,50.0,100.0
6,DispatchableAgent,-11.780831844730063,-295.3654028806975,0.0,50.0,100.0
7,DispatchableAgent,-6.780831844730063,-9.29383419419483,0.0,50.0,100.0
8,DispatchableAgent,-6.780831844730063,-9.29383419419483,0.0,50.0,100.0
9,DispatchableAgent,-2.1964884970403418,338.61614995713376,0.0,50.0,100.0
10,DispatchableAgent,2.8035115029596582,597.4167366800416,0.0,50.0,100.0
11,DispatchableAgent,0.647988322461793,528.2849984375301,0.0,50.0,100.0
12,DispatchableAgent,4.453434944169848,869.2984852466222,0.0,50.0,100.0
13,DispatchableAgent,4.453434944169848,869.2984852466222,0.0,50.0,100.0
14,DispatchableAgent,9.453434944169848,1195.4600430475634,0.0,50.0,100.0
15,DispatchableAgent,9.453434944169848,1195.4600430475634,0.0,50.0,100.0
16,DispatchableAgent,14.453434944169848,1465.5901680275026,0.0,50.0,100.0
17,DispatchableAgent,9.453434944169848,1349.065723785937,0.0,50.0,100.0
18,DispatchableAgent,9.453434944169848,1349.065723785937,0.0,50.0,100.0
19,DispatchableAgent,9.453434944169848,1349.065723785937,0.0,50.0,100.0
20,DispatchableAgent,4.680410706146995,1267.2007972281235,0.0,50.0,100.0
21,DispatchableAgent,3.529843391000055,1248.568196788481,0.0,50.0,100.0
22,DispatchableAgent,5.949564882215142,1434.159858495359,0.0,50.0,100.0
23,DispatchableAgent,5.949564882215142,1434.159858495359,0.0,50.0,100.0
24,DispatchableAgent,10.949564882215142,1846.2944549270883,0.0,50.0,100.0
25,DispatchableAgent,10.912564564462565,1845.9244517495624,0.0,50.0,100.0
26,DispatchableAgent,10.912564564462565,1845.9244517495624,0.0,50.0,100.0
27,DispatchableAgent,10.912564564462565,1845.9244517495624,0.0,50.0,100.0
28,DispatchableAgent,14.09440200724361,2022.6530350184312,0.0,50.0,100.0
29,DispatchableAgent,9.39240007080836,1876.9490009371543,0.0,50.0,100.0
30,DispatchableAgent,9.39240007080836,1876.9490009371543,0.0,50.0,100.0
31,DispatchableAgent,9.39240007080836,1876.9490009371543,0.0,50.0,100.0
32,DispatchableAgent,8.89275086788426,1855.9338925733716,0.0,50.0,100.0
33,DispatchableAgent,2.889097410608672,1592.076682663236,0.0,50.0,100.0
34,DispatchableAgent,0.44775823752294075,1536.8237365695527,0.0,50.0,100.0
35,DispatchableAgent,5.44775823752294,1784.6354032089428,0.0,50.0,100.0
36,DispatchableAgent,8.66050765302332,1960.6313550300933,0.0,50.0,100.0
37,DispatchableAgent,8.66050765302332,1960.6313550300933,0.0,50.0,100.0
38,DispatchableAgent,5.352495656372462,1896.6912996342223,0.0,50.0,100.0
39,DispatchableAgent,10.133787316333294,2290.6079498417935,0.0,50.0,100.0
40,DispatchableAgent,5.133787316333294,2181.504593527143,0.0,50.0,100.0
41,DispatchableAgent,5.133787316333294,2181.504593527143,0.0,50.0,100.0
42,DispatchableAgent,5.133787316333294,2181.504593527143,0.0,50.0,100.0
43,DispatchableAgent,0.13378731633329366,2065.008971156958,0.0,50.0,100.0
44,DispatchableAgent,5.133787316333294,2421.768210499454,0.0,50.0,100.0
45,DispatchableAgent,2.7257615158770534,2321.2756221718837,0.0,50.0,100.0
46,DispatchableAgent,4.179382416698573,2426.8242389554644,0.0,50.0,100.0
47,DispatchableAgent,6.1186780387816055,2565.538447680621,0.0,50.0,100.0
48,DispatchableAgent,6.1186780387816055,2565.538447680621,0.0,50.0,100.0
49,DispatchableAgent,6.1186780387816055,2565.538447680621,0.0,50.0,100.0
50,DispatchableAgent,10.033519950071897,2830.4578236644484,0.0,50.0,100.0
51,DispatchableAgent,15.033519950071897,3117.976782408573,0.0,50.0,100.0
52,DispatchableAgent,16.595272107286128,3194.2348603823184,0.0,50.0,100.0
53,DispatchableAgent,16.595272107286128,3194.2348603823184,0.0,50.0,100.0
54,DispatchableAgent,21.595272107286128,3465.578447101762,0.0,50.0,100.0
55,DispatchableAgent,21.595272107286128,3465.578447101762,0.0,50.0,100.0
56,DispatchableAgent,25.052339564518647,3627.1697401571696,0.0,50.0,100.0
57,DispatchableAgent,22.182248412106684,3550.0159049544886,0.0,50.0,100.0
58,DispatchableAgent,22.182248412106684,3550.0159049544886,0.0,50.0,100.0
59,DispatchableAgent,21.07805822034063,3527.8581476778327,0.0,50.0,100.0
60,DispatchableAgent,15.63390124623487,3358.428685553521,0.0,50.0,100.0
61,DispatchableAgent,15.63390124623487,3358.428685553521,0.0,50.0,100.0
62,DispatchableAgent,10.63390124623487,3235.8330266642706,0.0,50.0,100.0
63,DispatchableAgent,10.63390124623487,3235.8330266642706,0.0,50.0,100.0
64,DispatchableAgent,10.63390124623487,3235.8330266642706,0.0,50.0,100.0
65,DispatchableAgent,10.63390124623487,3235.8330266642706,0.0,50.0,100.0
66,DispatchableAgent,15.63390124623487,3618.7602410970917,0.0,50.0,100.0
67,DispatchableAgent,19.809685881437023,3919.6648683753265,0.0,50.0,100.0
68,DispatchableAgent,25.63390124623487,4285.79561009866,0.0,50.0,100.0
69,DispatchableAgent,22.33122112315098,4158.353621873634,0.0,50.0,100.0
70,DispatchableAgent,23.68892316552479,4263.945877226795,0.0,50.0,100.0
71,DispatchableAgent,27.7731667171656,4497.69121621866,0.0,50.0,100.0
72,DispatchableAgent,24.476897176192722,4539.835335589877,0.0,50.0,100.0
73,DispatchableAgent,21.309429049485903,4402.744397570628,0.0,50.0,100.0
74,DispatchableAgent,19.21093107819419,4318.432309702453,0.0,50.0,100.0
75,DispatchableAgent,22.4618150978635,4570.779951659931,0.0,50.0,100.0
76,DispatchableAgent,22.4618150978635,4570.779951659931,0.0,50.0,100.0
77,DispatchableAgent,28.677979346179125,4862.714048083696,0.0,50.0,100.0
