t,n_trades,total_volume,n_open_products,total_orders,p0_trades,p0_volume,p0_orders,p1_trades,p1_volume,p1_orders,p2_trades,p2_volume,p2_orders
0,1,5.0,1,2,1,5.0,2,0,0,0,0,0,0
1,1,5.0,1,3,1,5.0,3,0,0,0,0,0,0
2,4,20.0,1,3,4,20.0,3,0,0,0,0,0,0
3,5,25.0,1,3,5,25.0,3,0,0,0,0,0,0
4,5,25.0,1,2,5,25.0,2,0,0,0,0,0,0
5,4,20.0,1,2,4,20.0,2,0,0,0,0,0,0
6,3,15.0,1,3,3,15.0,3,0,0,0,0,0,0
7,2,10.0,1,4,2,10.0,4,0,0,0,0,0,0
8,1,5.0,1,5,1,5.0,5,0,0,0,0,0,0
9,6,30.0,1,4,6,30.0,4,0,0,0,0,0,0
10,1,5.0,1,6,1,5.0,6,0,0,0,0,0,0
11,2,10.0,1,7,2,10.0,7,0,0,0,0,0,0
12,2,10.0,1,8,2,10.0,8,0,0,0,0,0,0
13,3,15.0,1,8,3,15.0,8,0,0,0,0,0,0
14,3,15.0,1,9,3,15.0,9,0,0,0,0,0,0
15,1,5.0,1,10,1,5.0,10,0,0,0,0,0,0
16,4,20.0,1,10,4,20.0,10,0,0,0,0,0,0
17,1,5.0,1,12,1,5.0,12,0,0,0,0,0,0
18,5,25.0,1,11,5,25.0,11,0,0,0,0,0,0
19,3,15.0,1,12,3,15.0,12,0,0,0,0,0,0
20,2,10.0,1,13,2,10.0,13,0,0,0,0,0,0
21,4,20.0,1,13,4,20.0,13,0,0,0,0,0,0
22,3,15.0,1,13,3,15.0,13,0,0,0,0,0,0
23,2,10.0,1,14,2,10.0,14,0,0,0,0,0,0
24,1,5.0,1,16,1,5.0,16,0,0,0,0,0,0
25,4,20.0,1,16,4,20.0,16,0,0,0,0,0,0
26,3,15.0,1,16,3,15.0,16,0,0,0,0,0,0
27,0,0.0,1,18,0,0,18,0,0,0,0,0,0
28,4,20.0,1,18,4,20.0,18,0,0,0,0,0,0
29,3,15.0,1,19,3,15.0,19,0,0,0,0,0,0
30,1,5.0,1,20,1,5.0,20,0,0,0,0,0,0
31,4,20.0,1,20,4,20.0,20,0,0,0,0,0,0
32,2,10.0,1,21,2,10.0,21,0,0,0,0,0,0
33,3,15.0,1,22,3,15.0,22,0,0,0,0,0,0
34,3,15.0,1,22,3,15.0,22,0,0,0,0,0,0
35,1,5.0,1,24,1,5.0,24,0,0,0,0,0,0
36,4,20.0,1,24,4,20.0,24,0,0,0,0,0,0
37,3,15.0,1,24,3,15.0,24,0,0,0,0,0,0
38,3,15.0,1,25,3,15.0,25,0,0,0,0,0,0
39,4,20.0,1,25,4,20.0,25,0,0,0,0,0,0
40,2,10.0,1,26,2,10.0,26,0,0,0,0,0,0
41,2,10.0,1,27,2,10.0,27,0,0,0,0,0,0
42,4,20.0,1,27,4,20.0,27,0,0,0,0,0,0
43,2,10.0,1,28,2,10.0,28,0,0,0,0,0,0
44,3,15.0,1,28,3,15.0,28,0,0,0,0,0,0
45,6,30.0,1,27,6,30.0,27,0,0,0,0,0,0
46,3,15.0,1,28,3,15.0,28,0,0,0,0,0,0
47,3,15.0,1,28,3,15.0,28,0,0,0,0,0,0
48,2,10.0,1,29,2,10.0,29,0,0,0,0,0,0
49,4,20.0,1,29,4,20.0,29,0,0,0,0,0,0
50,3,15.0,1,30,3,15.0,30,0,0,0,0,0,0
51,2,10.0,1,31,2,10.0,31,0,0,0,0,0,0
52,3,15.0,1,31,3,15.0,31,0,0,0,0,0,0
53,2,10.0,1,32,2,10.0,32,0,0,0,0,0,0
54,6,30.0,1,31,6,30.0,31,0,0,0,0,0,0
55,3,15.0,1,32,3,15.0,32,0,0,0,0,0,0
56,2,10.0,1,33,2,10.0,33,0,0,0,0,0,0
57,5,25.0,1,32,5,25.0,32,0,0,0,0,0,0
58,1,5.0,1,34,1,5.0,34,0,0,0,0,0,0
59,4,20.0,1,34,4,20.0,34,0,0,0,0,0,0
60,7,35.0,2,34,5,25.0,33,2,10.0,1,0,0,0
61,5,25.0,2,36,2,10.0,34,3,15.0,2,0,0,0
62,6,30.0,2,37,4,20.0,34,2,10.0,3,0,0,0
63,8,40.0,2,37,3,15.0,35,5,25.0,2,0,0,0
64,5,25.0,2,38,3,15.0,35,2,10.0,3,0,0,0
65,6,30.0,2,40,3,15.0,36,3,15.0,4,0,0,0
66,6,30.0,2,41,4,20.0,36,2,10.0,5,0,0,0
67,6,30.0,2,41,3,15.0,36,3,15.0,5,0,0,0
68,7,35.0,2,42,3,15.0,37,4,20.0,5,0,0,0
69,6,30.0,2,43,2,10.0,38,4,20.0,5,0,0,0
70,8,40.0,2,43,3,15.0,38,5,25.0,5,0,0,0
71,6,30.0,2,44,3,15.0,39,3,15.0,5,0,0,0
72,9,45.0,2,43,5,25.0,38,4,20.0,5,0,0,0
73,7,35.0,2,44,4,20.0,38,3,15.0,6,0,0,0
74,7,35.0,2,45,3,15.0,39,4,20.0,6,0,0,0
75,9,45.0,2,44,4,20.0,39,5,25.0,5,0,0,0
76,5,25.0,2,46,2,10.0,40,3,15.0,6,0,0,0
77,7,35.0,2,46,5,25.0,39,2,10.0,7,0,0,0
78,4,20.0,2,48,1,5.0,41,3,15.0,7,0,0,0
79,4,20.0,2,50,1,5.0,42,3,15.0,8,0,0,0
80,8,40.0,2,50,4,20.0,42,4,20.0,8,0,0,0
81,7,35.0,2,50,4,20.0,42,3,15.0,8,0,0,0
82,6,30.0,2,51,2,10.0,43,4,20.0,8,0,0,0
83,8,40.0,2,51,4,20.0,43,4,20.0,8,0,0,0
84,6,30.0,2,52,2,10.0,44,4,20.0,8,0,0,0
85,5,25.0,2,54,2,10.0,45,3,15.0,9,0,0,0
86,7,35.0,2,55,3,15.0,46,4,20.0,9,0,0,0
87,5,25.0,2,56,3,15.0,46,2,10.0,10,0,0,0
88,5,25.0,2,58,3,15.0,47,2,10.0,11,0,0,0
89,7,35.0,2,58,4,20.0,47,3,15.0,11,0,0,0
90,5,25.0,2,59,3,15.0,47,2,10.0,12,0,0,0
91,6,30.0,2,61,3,15.0,48,3,15.0,13,0,0,0
